ID,Brand,VehicleModel,ManufacturingYear,Type,rating,color,Duty,fuel,CylinderCount,type of gear,capacity,Odometer,#airbags,price
2624,,I have the fastest model ever.. yes you got it right it's Mazda 6 TOURING,2017,WOOW Sedan,0.0,,I had to pay a substantial $1249 levy on my new car purchase.,Gas,4.0,R,2.5,75492 KM,1008,21012
14392,I love TOYOTA,,,Minivan3,5.0,Metallic,-,Gas,4.0 cyl,R,2.4,220000 KM,-96,11917
9822,hyundai,H1,2009,MINIVAN,0.0,Metallic,1185$,Dies,4.0,R,2.5,TOTAL 50653 km,4 count,22433
17123,opel,Corsa,,Hatchback,5.0,Jet Black,-,,4.0,auto,0,230000 KM,0  ,5645
11133,subaru,I own Outback.,2007,Hatchback,4.0,Sapphire Blue,-,Gas,4.0,,2.5,131000 KM,4  ,10976
12610,VOLKSWAGEN,my model which is CC is the best,3010,sedan,,Metallic,836$,Gas,4.0 cyl,,2,66000 KM,12,12900
605,,I have the fastest model ever.. yes you got it right it's E 200,1999,SEDAN,2.0,Sapphire Blue,-,Gas,4.0 cyl,manual,2,318406 km,6 count,6586
15308,FORD,I have the fastest model ever.. yes you got it right it's F150,2012,Pickup3,6.0,,-8526,Gas,8.0,auto,5,150000  kilo,8,42000
10146,Bmw,X6,2011,jeep,3.0,,-,Gas,8.0 cyl,auto,0,1000 KM,8,28600
1286,hyundai,H1,2014,Minivan,2.0,Metallic,10777,Dies,4.0,R,2.5,146216 KM,4,30750
2339,jaguar,XJ,2015,sedan,3.0,Pearl White,1104$,Gas,6.0 cyl,auto,3,54429 km,"12,",1646
926,I love HONDA,FIT,2006,Hatchback,2.0,Metallic,-,Gas,4.0 cyl,auto,1.3,0  kilo,4  ,30
9960,mercedes-benz,A 200,2105,HATCHBACK,2.0,Metallic,-,Gas,4.0,others,2,123456 km,6~,10036
14156,I love FORD,my model which is C-MAX SEL is the best,"2013,",SEDAN,8.0,Jet Black,I had to pay a substantial $640 levy on my new car purchase.,Electric Hybrid,4.0,,0,174400  kilo,106,18189
9478,honda,FIT,2010,HATCHBACK,3.0,,-,Gas,4.0,auto,1.5,206400 KM,6,11917
15040,HYUNDAI,ELANTRA,2017{,sedan,1.0,Jet Black,`,Gas,4.0,,1.6,25635  kilo,12,1019
3440,NISSAN,Presage RIDER,1-1-2003,minivan,3.0,,-,,4.0,auto,2.5,190000 km,2,7527
15347,toyota,Prius,,sedan,,Jet Black,-,Electric Hybrid,4.0,R,1.8,104000 km,8 bags,18817
10568,volkswagen,I have the fastest model ever.. yes you got it right it's Golf GTI,2016,hatchback,3.0,Jet Black,10891,Gas,4.0,auto,2,113600  kilo,8,7527
1084,lexus,,2015,JEEP,2.0,,603 pound,Electric Hybrid,6.0,others,3.5,143619  kilo,12<,13956
8432,ford,Transit 100LD,1998,microbus,2.0,Pearl White,-,Dies,4.0,others,2.5,250000 km,0,15681
3413,SSANGYONG,I have the fastest model ever.. yes you got it right it's Actyon,2018,,4.0,Sapphire Blue,880,Dies,4.0 cyl,auto,1.6,200401  kilometer,4,43868
11375,opel,ASTRA,2008,hatchback,3.0,Jet Black,893 pound,Gas,4.0,others,1.6,200000  kilometer,6 count,10976
5580,,I own Focus.,2015+,hatchback,,,-,,4.0 cyl,MANUAL,2,21000  kilometer,ONLY 10 AIRBAG,18189
11866,,my model which is Aqua is the best,"2012""",HATCHBACK,6.0,,503,,14.0,,1.5,120800 KM,4,23110
7696,HONDA,Insight,,Hatchback,0.0,,We were surprised by the hefty $448 levy on imported cars.,Electric Hybrid,4.0,others,1.3,119000  kilometer,1008,10036
17660,lexus,I own RX 450.,2010,Jeep1,2.0,,~,Electric Hybrid,6.0,AUTO,3.5,311949 km,12 count,282
10597,toyota,I own Camry.,2013,Sedan0,6.0,,779$,Electric Hybrid,4.0 cyl,auto,2.5,190549 km,12,5018
5280,Hyundai,my model which is Sonata is the best,2011,SEDAN,4.0,,707$,other,0,auto,2,91222  kilo,ONLY 4 AIRBAG,7683
16836,Toyota,Camry,2012,sedan,3.0,,The car levy amounted is 781 per vehicle.,Electric Hybrid,0,R,2.5,TOTAL 314373 km,1012,392
4817,toyota,I have the fastest model ever.. yes you got it right it's Highlander,2111,jeep,2.0,Charcoal,-,Gas,6.0,AUTO,3.5,TOTAL 112000 km,10,45473
14766,BMW,330,2007,Coupe,2.0,Metallic,-,Gas,8.0,others,3,157800  kilo,8 bags,60
12612,MERCEDES-BENZ is the best,my model which is E 270 is the best,,sedan,3.0,Jet Black,-,Dies,5.0,auto,2.7 Turbo,210000  kilometer,10,10976
6073,toyota,COROLLA,1-1-2020,Sedan3,4.0,Sapphire Blue,460,Electric Hybrid,4.0,auto,1.8,7467  kilometer,12 bags,6899
4129,I love MERCEDES-BENZ,E 350,2005,SEDAN,2.0,Gold,-,other,0,auto,3.5,TOTAL 279000 km,1008,14426
1870,SSANGYONG is the best,I own REXTON.,2013,JEEP,0.0,Pearl White,640,,4.0,AUTO,2,110190  kilo,4 bags,35043
14019,HONDA,,2017*,Hatchback3,0.0,Metallic,691,Gas,4.0,gear,1.3,100940 km,4 count,20372
16042,,I have the fastest model ever.. yes you got it right it's C 250,2013,SEDAN,3.0,Charcoal,-,Gas,4.0,others,1.8 Turbo,TOTAL 57956 km,ONLY 8 AIRBAG,29166
16755,I love SUBARU,FORESTER L.L.BEAN,2004,jeep,1.0,,-,Natural Gas,4.0,others,0,220000  kilo,5,11917
6,,my model which is Santa FE is the best,2016.,jeep,4.0,Pearl White,891,Dies,4.0,auto,2,TOTAL 160931 km,4,39493
17904,Toyota,Camry,2011,SEDAN,5.0,Metallic,831$,Gas,4.0 cyl,auto,2.4,110000  kilo,8,13485
5408,ford,I own Focus Flexfuel.,2015#,,5.0,,-,Gas,4.0,AUTO,2,165616  kilo,6,16308
1122,ssangyong,I own REXTON.,1910,jeep,3.0,Jet Black,1099,Dies,14.0,auto,2.7,151949 km,4,24029
